rl	Ic(Q1)	Ic(Q2)	Ic(Q3)	Ic(Q4)	Ic(Q5)	Ic(Q6)
3.330000000000000e+00	3.794112e-04	2.894855e-04	-3.770621e-04	-3.760697e-04	-1.485711e+00	2.114012e-02
1.326340000000000e+01	3.402482e-04	3.291097e-04	-3.382257e-04	-3.475364e-04	-3.774430e-01	5.240517e-03
2.319680000000000e+01	3.355323e-04	3.338798e-04	-3.335484e-04	-3.442467e-04	-2.177265e-01	3.012184e-03
3.313020000000000e+01	3.336963e-04	3.357368e-04	-3.317275e-04	-3.429854e-04	-1.537473e-01	2.123945e-03
4.306360000000000e+01	3.327176e-04	3.367267e-04	-3.307569e-04	-3.423208e-04	-1.192752e-01	1.646408e-03
5.299700000000000e+01	3.321085e-04	3.373427e-04	-3.301528e-04	-3.419112e-04	-9.772237e-02	1.348215e-03
6.293040000000001e+01	3.316925e-04	3.377634e-04	-3.297403e-04	-3.416341e-04	-8.297230e-02	1.144309e-03
7.286380000000000e+01	3.313900e-04	3.380693e-04	-3.294403e-04	-3.414344e-04	-7.224324e-02	9.960766e-04
8.279720000000000e+01	3.311601e-04	3.383019e-04	-3.292123e-04	-3.412838e-04	-6.408817e-02	8.834553e-04
9.273060000000001e+01	3.309792e-04	3.384848e-04	-3.290329e-04	-3.411663e-04	-5.768002e-02	7.949891e-04
1.026640000000000e+02	3.308330e-04	3.386326e-04	-3.288880e-04	-3.410722e-04	-5.251177e-02	7.236594e-04
1.125974000000000e+02	3.307125e-04	3.387544e-04	-3.287685e-04	-3.409951e-04	-4.825531e-02	6.649270e-04
1.225308000000000e+02	3.306114e-04	3.388567e-04	-3.286682e-04	-3.409309e-04	-4.468891e-02	6.157255e-04
1.324642000000000e+02	3.305252e-04	3.389438e-04	-3.285828e-04	-3.408767e-04	-4.165734e-02	5.739092e-04
1.423976000000000e+02	3.304509e-04	3.390190e-04	-3.285092e-04	-3.408302e-04	-3.904869e-02	5.379313e-04
1.523310000000000e+02	3.303862e-04	3.390844e-04	-3.284450e-04	-3.407901e-04	-3.678022e-02	5.066490e-04
1.622644000000000e+02	3.303293e-04	3.391420e-04	-3.283886e-04	-3.407550e-04	-3.478947e-02	4.791993e-04
1.721978000000000e+02	3.302788e-04	3.391930e-04	-3.283385e-04	-3.407241e-04	-3.302838e-02	4.549185e-04
1.821312000000000e+02	3.302337e-04	3.392386e-04	-3.282939e-04	-3.406967e-04	-3.145938e-02	4.332880e-04
1.920646000000000e+02	3.301932e-04	3.392795e-04	-3.282538e-04	-3.406723e-04	-3.005266e-02	4.138961e-04
2.019980000000000e+02	3.301566e-04	3.393165e-04	-3.282175e-04	-3.406504e-04	-2.878428e-02	3.964126e-04
2.119314000000000e+02	3.301234e-04	3.393501e-04	-3.281845e-04	-3.406306e-04	-2.763479e-02	3.805688e-04
2.218648000000000e+02	3.300931e-04	3.393807e-04	-3.281545e-04	-3.406127e-04	-2.658823e-02	3.661445e-04
2.317982000000000e+02	3.300653e-04	3.394088e-04	-3.281270e-04	-3.405964e-04	-2.563137e-02	3.529571e-04
2.417316000000000e+02	3.300398e-04	3.394346e-04	-3.281017e-04	-3.405814e-04	-2.475313e-02	3.408541e-04
2.516650000000000e+02	3.300162e-04	3.394585e-04	-3.280783e-04	-3.405678e-04	-2.394423e-02	3.297069e-04
2.615984000000000e+02	3.299944e-04	3.394806e-04	-3.280567e-04	-3.405552e-04	-2.319675e-02	3.194067e-04
2.715318000000000e+02	3.299741e-04	3.395010e-04	-3.280365e-04	-3.405435e-04	-2.250396e-02	3.098604e-04
2.814652000000000e+02	3.299552e-04	3.395201e-04	-3.280178e-04	-3.405328e-04	-2.186006e-02	3.009882e-04
2.913986000000000e+02	3.299376e-04	3.395379e-04	-3.280004e-04	-3.405228e-04	-2.126007e-02	2.927211e-04
3.013320000000000e+02	3.299211e-04	3.395546e-04	-3.279840e-04	-3.405135e-04	-2.069963e-02	2.849993e-04
3.112654000000000e+02	3.299056e-04	3.395703e-04	-3.279687e-04	-3.405049e-04	-2.017496e-02	2.777706e-04
3.211988000000000e+02	3.298911e-04	3.395850e-04	-3.279543e-04	-3.404968e-04	-1.968274e-02	2.709891e-04
3.311322000000000e+02	3.298774e-04	3.395988e-04	-3.279407e-04	-3.404892e-04	-1.922004e-02	2.646147e-04
3.410656000000000e+02	3.298644e-04	3.396119e-04	-3.279279e-04	-3.404821e-04	-1.878430e-02	2.586117e-04
3.509990000000000e+02	3.298522e-04	3.396243e-04	-3.279158e-04	-3.404754e-04	-1.837323e-02	2.529486e-04
3.609324000000000e+02	3.298407e-04	3.396360e-04	-3.279043e-04	-3.404691e-04	-1.798477e-02	2.475973e-04
3.708658000000000e+02	3.298297e-04	3.396471e-04	-3.278934e-04	-3.404632e-04	-1.761713e-02	2.425328e-04
3.807992000000000e+02	3.298193e-04	3.396576e-04	-3.278831e-04	-3.404575e-04	-1.726867e-02	2.377325e-04
3.907326000000000e+02	3.298094e-04	3.396676e-04	-3.278733e-04	-3.404522e-04	-1.693792e-02	2.331765e-04
4.006660000000000e+02	3.298000e-04	3.396771e-04	-3.278640e-04	-3.404472e-04	-1.662357e-02	2.288464e-04
4.105994000000000e+02	3.297910e-04	3.396862e-04	-3.278551e-04	-3.404425e-04	-1.632443e-02	2.247259e-04
4.205328000000000e+02	3.297824e-04	3.396949e-04	-3.278466e-04	-3.404379e-04	-1.603943e-02	2.208001e-04
4.304662000000000e+02	3.297742e-04	3.397031e-04	-3.278385e-04	-3.404336e-04	-1.576757e-02	2.170556e-04
4.403996000000000e+02	3.297663e-04	3.397111e-04	-3.278307e-04	-3.404295e-04	-1.550798e-02	2.134800e-04
4.503330000000000e+02	3.297589e-04	3.397187e-04	-3.278232e-04	-3.404256e-04	-1.525984e-02	2.100622e-04
4.602664000000000e+02	3.297516e-04	3.397259e-04	-3.278161e-04	-3.404219e-04	-1.502241e-02	2.067920e-04
4.701998000000000e+02	3.297447e-04	3.397329e-04	-3.278093e-04	-3.404184e-04	-1.479502e-02	2.036599e-04
4.801332000000000e+02	3.297381e-04	3.397396e-04	-3.278027e-04	-3.404150e-04	-1.457703e-02	2.006576e-04
4.900666000000000e+02	3.297318e-04	3.397460e-04	-3.277964e-04	-3.404117e-04	-1.436787e-02	1.977769e-04
5.000000000000000e+02	3.297256e-04	3.397522e-04	-3.277904e-04	-3.404086e-04	-1.416703e-02	1.950108e-04
