,RL,Frecuencia total,Frecuencia Nodo 1,Frecuencia Nodo 2,Frecuencia Nodo 3,Frecuencia Nodo 4,Frecuencia Nodo Salida
0,3.33,14263.441655633002,122385.08541132764,28579.137823292935,1179341.3388621635,95787.32152917662,63856.58776846457
1,13.2634,11124.919544779113,69086.70266995206,41714.94263017897,1168262.8152053617,64571.861617302115,28490.916293946557
2,23.1968,10132.504805877252,59572.61806337316,48386.5119594628,1157491.6704963152,56816.02777161726,23378.401875996118
3,33.1302,9662.051888711547,55521.32421450358,52649.42078451516,1147080.4635486251,53368.164783923516,21329.472573901767
4,43.0636,9388.163707502485,53274.066806603485,55628.055825948984,1137018.2193312352,51421.548965772265,20225.264934727067
5,52.997,9208.980383232973,51844.74844729179,57830.9406708776,1127289.4196937901,50171.37929643102,19534.779129949806
6,62.93040000000001,9082.590797796822,50855.428454514826,59527.474811530614,1117878.4490767545,49300.68489685283,19062.161394483544
7,72.8638,8988.622536934354,50129.988984845266,60874.74054999166,1108770.2703001238,48659.491391941905,18718.33249755358
8,82.7972,8915.985929446435,49575.25890253334,61970.74388270052,1099950.6438854842,48167.643142473775,18456.94747271116
9,92.73060000000001,8858.129276273181,49137.31741791087,62879.877689200635,1091406.1552016833,47778.3967962221,18251.514922466566
10,102.664,8810.937321369129,48782.790393707364,63646.26130620619,1083124.166586345,47462.69197730558,18085.801203555595
11,112.5974,8771.689025592477,48489.917792597524,64301.068888592425,1075092.807038817,47201.47894123505,17949.288219865888
12,122.5308,8738.520893383711,48243.90071228992,64867.061713105,1067300.8906505841,46981.77806993659,17834.88166264984
13,132.4642,8710.107143291501,48034.32752891344,65361.16067977417,1059737.8689934616,46794.40640568621,17737.605846168233
14,142.3976,8685.485616291751,47853.65761338846,65796.27795500505,1052393.834367461,46632.75494600557,17653.88089866416
15,152.331,8663.930637439737,47696.29830038651,66182.34568049703,1045259.3720026996,46491.80916334619,17581.04802422495
16,162.2644,8644.898909496971,47558.01040593986,66527.25536448018,1038325.6808885188,46367.88297979422,17517.114929924308
17,172.1978,8627.962190379736,47435.52548876741,66837.23391098165,1031584.4007980048,46258.037566996485,17460.53638378874
18,182.1312,8612.788705724486,47326.28051435454,67117.35517483608,1025027.6537322461,46160.02479543617,17410.11401035572
19,192.0646,8599.108944166437,47228.239255828645,67371.71376746132,1018647.9313171332,46072.002237119494,17364.887938354383
20,201.998,8586.709813214422,47139.76181079061,67603.72607796127,1012438.1488875858,45992.533568734805,17324.095960314135
