AWG,Bare area (10^-3 cm^2),Diameter (cm)
0,534.8,0.825
1,424.1,0.735
2,336.3,0.654
3,226.7,0.583
4,211.5,0.519
5,167.7,0.462
6,133.0,0.411
7,167.7,0.366
8,83.67,0.326
9,66.32,0.291
10,52.41,0.267
11,41.60,0.238
12,33.08,0.213
13,26.26,0.190
14,20.02,0.171
15,16.51,0.153
16,13.07,0.137
17,10.39,0.122
18,8.228,0.109
19,6.531,0.0948
20,5.188,0.0874
21,4.116,0.0785
22,3.243,0.0701
23,2.508,0.0632
24,2.047,0.0566
25,1.623,0.0505
26,1.280,0.0452
27,1.021,0.0409
28,0.8046,0.0366
29,0.6470,0.0330
30,0.5067,0.0294
31,0.4013,0.0267
32,0.3242,0.0241
33,0.2554,0.0236
34,0.2011,0.0191
